TransactionID,AccountID,Timestamp,TransactionType,TransactionAmount,AccountBalance
25384,7664,2016-01-06 00:45:21,withdrawal,1320.06,88942.68
18806,7085,2016-01-06 02:42:03,withdrawal,4091.37,11670.28
75,4752,2016-01-06 02:51:47,withdrawal,3534.58,67091.06
12683,7779,2016-01-06 04:37:04,transfer,1987.87,98704.67
30878,7570,2016-01-06 04:51:46,deposit,1260.4,16683.53
29986,7473,2016-01-06 07:04:26,deposit,3038.93,10173.43
11177,2269,2016-01-06 11:36:05,payment,3001.49,16008.52
2520,9907,2016-01-06 16:39:56,payment,3613.81,77373.59
20799,3901,2016-01-06 17:39:20,withdrawal,3430.4,11593.97
20118,1977,2016-01-06 18:54:17,withdrawal,2310.96,4932.99
1169,6553,2016-01-06 19:13:34,payment,32.92,95782.54
24383,2518,2016-01-06 21:20:02,deposit,2332.35,81934.69
20032,8871,2016-01-06 23:36:04,deposit,563.38,49874.22
36654,5647,2016-01-06 23:38:17,transfer,4719.84,32467.43
37126,9986,2016-01-07 00:26:41,deposit,1794.81,38482.16
12143,7050,2016-01-07 02:02:46,transfer,3351.26,76362.71
36935,4068,2016-01-07 02:49:33,deposit,4500.9,70827.46
25574,1919,2016-01-07 03:10:15,deposit,1628.19,28373.86
17791,1462,2016-01-07 03:33:17,withdrawal,4491.29,42074.77
16551,9114,2016-01-07 04:30:38,withdrawal,799.77,19159.51
3420,4892,2016-01-07 06:48:25,payment,72.89,42117.13
17485,1486,2016-01-07 09:35:24,deposit,4339.29,69107.63
24618,6482,2016-01-07 10:20:30,withdrawal,168.93,24930.94
19062,5593,2016-01-07 14:57:55,deposit,4216.07,44629.97
29821,4700,2016-01-07 14:59:11,deposit,4381.68,55009.21
15878,4757,2016-01-07 15:55:22,withdrawal,49.32,98929.09
7740,5504,2016-01-07 18:59:08,transfer,394.41,61967.06
13142,4627,2016-01-07 19:20:42,payment,1409.85,73695.29
5705,2462,2016-01-07 21:31:27,transfer,4576.53,16525.98
67,5010,2016-01-07 21:56:32,payment,705.48,74572.18
23907,2474,2016-01-07 22:04:39,payment,2629.82,32498.03
3287,6536,2016-01-08 01:00:21,payment,1939.74,92645.04
7645,7937,2016-01-08 04:11:01,withdrawal,824.42,41656.9
15244,7174,2016-01-08 05:57:31,withdrawal,4773.13,25673.52
20677,1371,2016-01-08 07:36:52,withdrawal,1836.28,45204.54
6913,5373,2016-01-08 08:19:39,payment,1003.62,56974.16
25608,4481,2016-01-08 09:31:58,transfer,2925.1,92322.2
3828,2681,2016-01-08 11:47:02,transfer,2411.18,77203.39
6304,6656,2016-01-08 13:14:37,deposit,3889.77,47805.79
27652,3913,2016-01-08 14:00:24,deposit,360.4,21100.3
1613,9937,2016-01-08 19:11:10,deposit,2665.26,29118.75
5784,9574,2016-01-08 20:04:51,withdrawal,538.15,86498.39
17255,3472,2016-01-08 20:18:44,withdrawal,2828.6,72829.35
14345,2971,2016-01-08 22:26:16,withdrawal,4934.07,60930.21
20267,7531,2016-01-09 00:17:32,withdrawal,2984.34,22048.21
29050,5627,2016-01-09 00:24:42,transfer,198.71,81670.04
34009,1400,2016-01-09 01:51:16,withdrawal,3585.04,1217.83
16702,3400,2016-01-09 02:29:47,transfer,278.68,43727.32
32559,5480,2016-01-09 04:57:27,deposit,484.01,72471.15
2499,8563,2016-01-09 06:23:04,transfer,4903.72,3565.76
10047,3898,2016-01-09 06:59:17,deposit,1161.44,84527.89
11749,4798,2016-01-09 10:25:48,deposit,1221.07,47599.54
24059,1374,2016-01-09 10:42:09,deposit,3465.75,73078.94
26660,3847,2016-01-09 11:22:52,transfer,1114.97,29301.4
23613,2389,2016-01-09 15:08:19,withdrawal,3159.99,89614.72
11520,2039,2016-01-09 16:31:00,deposit,4272.97,2836.45
17470,2871,2016-01-09 22:38:19,payment,1836.21,59748.59
34852,1829,2016-01-10 01:17:41,deposit,2726.98,59071.67
23816,5260,2016-01-10 01:58:38,deposit,4732.42,91412.44
20445,9104,2016-01-10 06:23:46,deposit,1089.91,87655.38
31584,1361,2016-01-10 06:24:51,withdrawal,3962.4,598.58
5847,8211,2016-01-10 08:05:49,payment,1058.32,10857.39
33521,1702,2016-01-10 09:14:01,payment,3460.03,96302.2
27622,7125,2016-01-10 09:26:25,transfer,3239.95,18790.65
33538,6148,2016-01-10 10:03:33,deposit,1087.92,40975.65
18724,7910,2016-01-10 11:01:36,deposit,4032.92,67960.06
33621,6474,2016-01-10 11:36:55,payment,1012.48,28227.74
19064,2295,2016-01-10 12:06:47,withdrawal,2240.26,94674.32
14388,4793,2016-01-10 13:44:41,deposit,3225.77,76288.28
7922,2065,2016-01-10 16:09:29,transfer,3560.65,34593.86
35352,6918,2016-01-10 16:56:56,payment,972.6,94370.5
10389,8908,2016-01-10 21:11:13,transfer,4341.75,15338.02
14444,1066,2016-01-10 21:25:34,transfer,4155.86,22054.71
29043,6287,2016-01-10 23:05:34,payment,2133.53,35226.21
8773,7154,2016-01-11 00:24:16,payment,2781.63,44605.88
25407,3016,2016-01-11 01:03:50,deposit,1099.19,10511.7
10115,9475,2016-01-11 01:41:36,transfer,472.12,90349.62
29292,1464,2016-01-11 02:33:28,deposit,3109.13,76534.66
13934,3881,2016-01-11 04:57:53,deposit,4901.63,19515.41
17666,8591,2016-01-11 05:54:32,transfer,636.47,36757.44
35942,9821,2016-01-11 06:17:11,deposit,593.61,75086.01
1224,2140,2016-01-11 06:30:14,withdrawal,4718.14,23706.95
11329,5871,2016-01-11 07:18:29,withdrawal,4184.78,8052.54
31253,9906,2016-01-11 09:28:43,payment,3370.32,13934.38
14334,5587,2016-01-11 11:06:58,transfer,1203.32,41328.48
6319,2430,2016-01-11 13:40:05,deposit,3238.95,32337.36
17893,6355,2016-01-11 19:11:52,deposit,4706.51,96177.17
13224,9292,2016-01-11 20:38:20,transfer,4486.12,26366.76
34210,5088,2016-01-11 20:43:16,payment,135.82,49658.77
21488,2809,2016-01-11 23:04:47,deposit,264.82,85117.76
15521,8084,2016-01-12 00:16:39,deposit,33.44,37469.26
2708,9827,2016-01-12 03:20:57,payment,1328.65,95668.55
2314,9673,2016-01-12 04:26:56,transfer,3511.59,59233.65
12702,4519,2016-01-12 06:20:23,deposit,1295.18,16092.43
28643,4149,2016-01-12 14:02:45,withdrawal,4194.48,81271.78
8965,7169,2016-01-12 17:55:10,transfer,2784.5,7505.47
24690,3410,2016-01-12 19:18:51,transfer,4256.38,61441.62
14037,3618,2016-01-12 19:23:55,transfer,1444.86,22679.17
22245,3512,2016-01-12 20:44:58,transfer,3926.55,50737.04
5304,5770,2016-01-13 03:10:01,payment,4466.63,85596.2
34135,4043,2016-01-13 03:26:25,payment,2080.98,49556.54
34357,8986,2016-01-13 03:41:18,withdrawal,3727.81,16897.36
23368,1266,2016-01-13 03:49:04,withdrawal,72.84,26089.28
26470,9094,2016-01-13 08:30:00,transfer,2028.16,10772.14
1393,6401,2016-01-13 08:36:02,transfer,849.62,47350.27
22584,4869,2016-01-13 14:49:28,deposit,3884.59,74155.52
10804,3593,2016-01-13 15:15:53,payment,4711.78,92390.86
10293,7909,2016-01-13 15:16:56,payment,1583.67,81605.92
7508,8194,2016-01-13 17:29:51,withdrawal,1635.38,92949.42
32601,2040,2016-01-13 19:30:21,transfer,4083.21,78199.26
30968,2738,2016-01-13 21:48:41,payment,1778.47,60136.19
12285,7200,2016-01-13 23:57:12,transfer,1459.82,32144.5
22195,9334,2016-01-14 02:15:14,withdrawal,1151.69,40721.73
10877,4150,2016-01-14 04:46:44,withdrawal,2249.18,61638.45
3600,6449,2016-01-14 05:14:49,deposit,3308.67,76503.7
27586,5902,2016-01-14 05:23:56,deposit,3461.24,73778.05
17592,9856,2016-01-14 06:14:19,withdrawal,3974.36,74109.6
34341,7897,2016-01-14 09:38:35,payment,14.16,48051.29
1099,4394,2016-01-14 10:26:59,deposit,3898.14,10286.56
14304,9185,2016-01-14 12:06:27,withdrawal,907.45,39377.41
22995,6361,2016-01-14 14:03:13,transfer,1754.9,43953.47
10004,2861,2016-01-14 14:49:26,withdrawal,3036.73,39444.55
10484,2887,2016-01-14 14:56:16,deposit,1224.7,89468.7
1915,7173,2016-01-14 17:11:42,deposit,2243.6,51743.91
1139,1510,2016-01-14 18:23:57,withdrawal,2403.45,1449.9
36929,4007,2016-01-14 18:25:12,withdrawal,3287.64,72600.18
34437,8626,2016-01-14 19:06:15,transfer,693.11,98505.16
232,7570,2016-01-14 19:12:43,transfer,2513.68,52193.57
15858,6583,2016-01-14 20:28:51,payment,2292.88,44600.36
9912,3592,2016-01-14 20:59:44,deposit,4541.04,12464.67
23576,5028,2016-01-14 21:43:24,withdrawal,4571.9,71429.45
18123,5185,2016-01-14 21:56:23,payment,3816.47,65610.22
16535,6265,2016-01-14 23:09:06,withdrawal,2047.31,73263.12
4012,4624,2016-01-14 23:32:04,transfer,1960.16,21472.97
19294,4550,2016-01-15 01:43:37,payment,4145.93,69778.27
22328,3953,2016-01-15 01:48:42,transfer,2511.69,67823.71
6490,4264,2016-01-15 05:16:52,transfer,3573.77,74508.51
22215,4130,2016-01-15 10:57:52,payment,4399.4,42988.3
36256,8875,2016-01-15 11:25:24,withdrawal,4638.54,33258.31
16979,9359,2016-01-15 12:07:48,payment,498.4,6663.11
30572,9312,2016-01-15 15:00:54,deposit,3579.97,46817.68
2942,7024,2016-01-15 17:58:20,withdrawal,3008.17,89341.96
30272,2323,2016-01-15 19:24:42,deposit,1923.25,78546.3
36742,4029,2016-01-15 19:24:43,payment,4381.48,66845.23
3288,8909,2016-01-15 20:16:09,withdrawal,4017.88,46160.1
34732,2125,2016-01-15 21:55:05,payment,1110.8,74480.85
31724,2927,2016-01-15 22:37:40,withdrawal,3713.46,82592.51
28755,9657,2016-01-15 23:22:15,transfer,1062.22,90705.8
25076,9017,2016-01-16 00:12:50,deposit,1845.48,4324.5
12933,4215,2016-01-16 04:15:58,payment,2669.07,9211.47
29791,7627,2016-01-16 04:59:34,deposit,4546.2,38077.27
2901,8167,2016-01-16 06:16:15,transfer,640.21,43961.71
7201,6727,2016-01-16 06:26:52,deposit,1845.72,22214.49
8538,9372,2016-01-16 10:18:30,deposit,4437.93,8975.07
11500,4587,2016-01-16 12:43:34,withdrawal,4996.68,28691.9
32765,2039,2016-01-16 16:20:17,payment,2045.6,5503.52
34248,7589,2016-01-17 00:46:56,transfer,873.02,51028.55
15676,9153,2016-01-17 01:10:56,transfer,4065.62,43970.6
25466,1496,2016-01-17 03:04:59,transfer,4188.47,56458.09
23602,1857,2016-01-17 07:08:07,deposit,1469.92,96387.23
25854,8324,2016-01-17 10:59:25,payment,3831.67,54175.7
9969,5887,2016-01-17 12:17:59,transfer,3748.38,14466.77
26610,7549,2016-01-17 14:36:16,transfer,3118.2,13692.72
32597,1527,2016-01-17 16:23:53,deposit,4839.28,6140.05
13101,3045,2016-01-17 21:34:28,payment,1024.9,59003.51
35228,1882,2016-01-17 21:46:33,withdrawal,3422.39,53452.71
9660,3370,2016-01-17 21:57:25,payment,4086.48,34049.08
19070,9773,2016-01-18 03:44:27,payment,591.87,46912.03
11647,8913,2016-01-18 05:02:11,withdrawal,1762.8,48114.62
8313,2527,2016-01-18 06:23:19,withdrawal,146.82,13524.28
9596,3016,2016-01-18 07:55:20,transfer,1878.12,4067.81
1644,7001,2016-01-18 12:22:09,payment,3118.3,13784.57
18121,9230,2016-01-18 15:20:14,withdrawal,4359.7,67986.72
7015,8190,2016-01-18 15:30:14,deposit,2521.81,2393.95
32043,5433,2016-01-18 15:53:08,transfer,3379.88,86210.75
9317,3548,2016-01-18 16:27:09,deposit,4025.28,4447.05
25189,8533,2016-01-18 17:21:28,deposit,1784.32,8820.63
22018,8098,2016-01-18 19:02:42,deposit,2191.09,97250.56
34813,1871,2016-01-18 20:03:40,transfer,1475.12,47429.65
5104,6254,2016-01-18 20:09:24,payment,1662.8,86561.8
33257,6571,2016-01-18 21:54:29,deposit,4942.73,5758.47
28957,7800,2016-01-18 21:59:02,transfer,4450.6,93972.99
10306,3033,2016-01-18 22:04:26,withdrawal,3621.3,92722.08
2681,1681,2016-01-18 23:28:32,payment,1338.7,4159.61
34320,6757,2016-01-19 00:55:59,deposit,2326.57,83641.25
17234,1393,2016-01-19 01:07:37,payment,3806.3,99138.28
35459,7698,2016-01-19 01:36:56,withdrawal,1690.72,38296.42
9935,6610,2016-01-19 01:39:30,transfer,1518.25,23023.59
815,7561,2016-01-19 08:18:45,transfer,4349.61,57334.4
9659,5562,2016-01-19 12:54:12,withdrawal,3208.74,89842.6
30632,8380,2016-01-19 13:23:29,deposit,3179.92,64645.63
13337,1111,2016-01-19 17:40:30,withdrawal,4282.01,48115.17
17162,3956,2016-01-19 19:20:38,transfer,3170.55,83251.1
28885,5081,2016-01-19 20:11:05,transfer,3930.34,86365.14
2542,7129,2016-01-20 00:52:51,deposit,3830.81,47088.88
20302,6874,2016-01-20 01:14:39,payment,1467.18,83805.39
25422,2361,2016-01-20 04:09:10,payment,4720.79,29712.62
23416,6982,2016-01-20 09:03:24,transfer,3512.05,96869.77
23200,5914,2016-01-20 11:29:05,payment,406.83,29695.89
11622,3315,2016-01-20 16:55:15,withdrawal,1371.0,62759.14
36308,7797,2016-01-20 17:18:22,transfer,1120.44,58002.73
10834,7615,2016-01-20 17:51:11,transfer,1277.89,66853.17
28100,3796,2016-01-20 20:55:45,transfer,1863.51,84752.7
25416,9398,2016-01-21 02:40:35,transfer,1050.07,13844.0
12363,8268,2016-01-21 03:44:58,payment,3165.9,68350.67
19652,7078,2016-01-21 05:22:21,withdrawal,2412.32,18885.38
30166,9768,2016-01-21 05:51:25,payment,4808.93,62151.61
7894,1153,2016-01-21 06:26:37,payment,2208.23,44624.55
16029,1423,2016-01-21 09:54:30,deposit,1268.09,55906.62
29563,7418,2016-01-21 11:54:00,transfer,3929.57,41556.43
6372,8469,2016-01-21 14:14:12,deposit,1692.5,43439.62
14467,2766,2016-01-21 14:19:47,withdrawal,1560.55,43900.04
2918,6680,2016-01-21 18:05:59,withdrawal,4242.28,45412.1
32520,2760,2016-01-21 19:16:22,withdrawal,2094.21,37143.81
23637,5015,2016-01-21 21:40:36,transfer,4900.52,64050.21
13931,9316,2016-01-21 23:42:23,payment,1791.07,8019.23
12180,1665,2016-01-22 00:15:42,payment,529.79,30048.87
33228,8876,2016-01-22 00:33:47,deposit,3744.73,95315.26
28349,4500,2016-01-22 01:30:48,transfer,82.31,12795.92
9290,2813,2016-01-22 03:55:14,payment,1108.28,84032.76
29047,4457,2016-01-22 07:08:21,deposit,1707.22,7068.81
18551,6070,2016-01-22 10:13:23,transfer,4409.93,26860.5
13928,2003,2016-01-22 11:31:25,deposit,180.91,26072.7
16630,1782,2016-01-22 12:30:13,payment,1358.72,53164.46
31322,9568,2016-01-22 13:15:48,deposit,738.11,32100.62
13153,2555,2016-01-22 15:24:28,withdrawal,10.36,68252.3
23779,7530,2016-01-22 19:01:21,payment,2279.89,72441.92
16332,3110,2016-01-22 19:28:31,transfer,3185.08,50944.97
16390,3033,2016-01-23 01:47:51,transfer,88.93,61996.24
26609,9241,2016-01-23 03:09:33,transfer,1488.81,55860.66
6945,5882,2016-01-23 03:59:29,payment,2832.05,45636.77
5695,5775,2016-01-23 04:50:25,deposit,3774.38,84662.71
36029,8155,2016-01-23 04:54:09,payment,692.83,49061.7
12967,1558,2016-01-23 08:55:07,payment,2131.07,11419.22
28944,5875,2016-01-23 09:17:42,transfer,2941.85,74546.2
34937,3759,2016-01-23 10:46:15,withdrawal,4840.82,6380.81
30947,4704,2016-01-23 11:15:52,payment,444.1,23481.5
33707,9507,2016-01-23 13:10:05,withdrawal,797.8,8060.34
6760,6629,2016-01-23 14:14:19,deposit,1434.95,89307.02
14847,2567,2016-01-23 15:39:57,deposit,1823.14,45869.55
31268,6428,2016-01-23 20:37:20,withdrawal,2247.61,52294.47
12828,6191,2016-01-23 21:33:19,payment,118.49,84212.84
30017,4784,2016-01-23 23:21:15,deposit,130.31,83260.81
20872,3019,2016-01-24 00:23:51,deposit,2817.25,89341.63
19816,1657,2016-01-24 00:24:46,transfer,1583.19,47057.46
34196,1693,2016-01-24 01:43:45,payment,4665.54,72435.11
13730,4267,2016-01-24 02:18:27,transfer,1060.7,1295.07
28498,2776,2016-01-24 02:28:13,payment,2949.27,70851.91
7204,5654,2016-01-24 02:44:54,deposit,563.93,64532.55
28252,2601,2016-01-24 03:08:53,transfer,4946.27,60871.76
2179,3347,2016-01-24 11:26:07,transfer,3471.06,68268.94
31050,1955,2016-01-24 15:21:52,payment,2768.07,36456.73
30506,1796,2016-01-24 21:20:28,transfer,746.72,23964.19
27547,3956,2016-01-24 22:48:48,deposit,1730.74,56161.44
26617,1139,2016-01-25 00:23:20,withdrawal,3569.5,22230.94
6983,9941,2016-01-25 05:43:49,transfer,4674.18,92329.92
10274,6151,2016-01-25 08:12:21,payment,444.08,89150.65
32273,3228,2016-01-25 09:23:41,transfer,4839.16,75309.39
34042,9721,2016-01-25 10:49:49,withdrawal,3646.67,5512.82
12503,2301,2016-01-25 13:10:31,payment,934.85,75413.15
4629,5663,2016-01-25 14:45:11,transfer,3228.98,91144.98
9203,6653,2016-01-25 16:54:06,transfer,2996.87,16955.86
26672,9805,2016-01-25 17:51:28,payment,625.72,82892.28
29945,1546,2016-01-25 21:18:05,deposit,4537.5,61398.62
33284,2362,2016-01-25 22:32:16,deposit,4393.33,99738.14
25882,5612,2016-01-25 22:41:12,payment,3632.89,59266.44
20068,9373,2016-01-26 05:15:23,payment,3198.68,89266.57
16616,6651,2016-01-26 07:40:46,deposit,1679.94,76121.07
14772,5435,2016-01-26 08:09:01,transfer,4342.46,17680.88
35606,7706,2016-01-26 08:29:08,deposit,1527.88,25281.48
16510,1106,2016-01-26 11:00:12,withdrawal,583.2,28405.09
21146,9195,2016-01-26 12:31:19,withdrawal,3434.75,34585.62
9451,3112,2016-01-26 13:40:03,payment,2243.26,81332.37
13490,1785,2016-01-26 17:45:20,withdrawal,2188.55,27408.94
3880,9260,2016-01-26 17:50:48,withdrawal,1157.67,68427.09
27947,7997,2016-01-26 18:02:25,transfer,3654.0,48586.76
30190,7414,2016-01-26 22:04:10,payment,3076.63,81339.56
32763,8071,2016-01-26 23:16:35,transfer,455.64,30734.2
10473,3894,2016-01-27 01:27:39,deposit,4029.83,83267.4
20701,7464,2016-01-27 01:50:02,transfer,4408.19,78746.13
26180,1645,2016-01-27 01:52:52,payment,3714.8,78465.69
3682,8772,2016-01-27 02:15:31,transfer,628.31,52086.58
1173,2557,2016-01-27 02:20:07,payment,3159.44,2049.55
8091,7158,2016-01-27 03:56:12,payment,4313.51,23376.84
25236,4488,2016-01-27 05:38:59,deposit,2504.22,95301.48
25983,5983,2016-01-27 11:21:22,payment,960.42,36926.36
1906,9221,2016-01-27 11:33:23,transfer,1013.2,58351.13
36727,8424,2016-01-27 14:30:30,payment,2101.29,50966.56
18849,3216,2016-01-27 16:19:05,transfer,4911.31,51695.08
10561,6777,2016-01-27 18:19:20,payment,590.18,99147.94
5300,7347,2016-01-27 22:43:02,payment,136.51,47147.48
25404,3476,2016-01-27 23:38:33,deposit,3478.96,83889.33
24269,2260,2016-01-28 00:05:24,payment,803.61,21957.4
35512,8246,2016-01-28 01:56:49,payment,3297.62,71479.78
36536,7656,2016-01-28 04:22:23,payment,3827.39,17098.32
29636,7595,2016-01-28 06:38:16,payment,4833.42,41419.73
6356,9986,2016-01-28 15:10:09,payment,4842.13,54786.47
51,5741,2016-01-28 19:40:29,transfer,4847.95,37910.19
61,6820,2016-01-28 22:14:50,payment,1944.0,49280.53
35140,6881,2016-01-29 03:11:14,deposit,3674.6,61013.07
2336,8520,2016-01-29 04:25:32,withdrawal,1919.81,65662.72
4724,1172,2016-01-29 04:41:15,transfer,2094.06,99911.0
15020,9665,2016-01-29 10:24:23,withdrawal,3442.3,20515.68
31909,5185,2016-01-29 11:13:13,deposit,2086.79,67067.82
2104,1049,2016-01-29 17:23:23,deposit,3479.8,81830.5
18371,7015,2016-01-29 19:05:58,deposit,3239.13,7922.89
3476,9008,2016-01-29 19:15:57,deposit,4014.25,27037.05
18445,8927,2016-01-29 23:54:27,transfer,3588.74,52246.57
839,3146,2016-01-30 00:06:13,transfer,2903.36,99214.94
26128,4068,2016-01-30 06:42:02,transfer,289.44,69855.52
5017,1618,2016-01-30 09:48:07,payment,208.45,30054.35
7388,8724,2016-01-30 16:02:33,deposit,4879.38,72856.96
11697,8763,2016-01-30 16:18:21,withdrawal,2321.87,75266.58
31264,6225,2016-01-30 19:55:24,transfer,3385.15,84048.58
14368,8630,2016-01-30 20:21:34,deposit,3848.23,44786.37
21852,5919,2016-01-30 20:31:50,transfer,146.93,22432.42
8260,3445,2016-01-30 21:18:05,deposit,3967.89,58619.04
19081,7081,2016-01-30 21:59:50,withdrawal,2532.48,83398.9
12884,3660,2016-01-31 02:05:31,deposit,2443.32,16954.37
37129,2930,2016-01-31 03:49:31,deposit,4527.24,63925.57
9075,3198,2016-01-31 05:25:16,withdrawal,1850.62,76512.5
37162,2453,2016-01-31 08:13:34,payment,2135.53,30858.19
28084,1787,2016-01-31 08:28:22,transfer,3266.58,31818.09
13858,4270,2016-01-31 08:46:17,deposit,4379.55,23807.01
26415,8809,2016-01-31 09:25:06,withdrawal,1976.34,1155.86
5166,2631,2016-01-31 11:19:25,deposit,4923.29,96717.83
24282,5180,2016-01-31 15:02:31,payment,2922.1,73461.7
8785,6918,2016-01-31 15:32:27,deposit,2832.65,10811.37
2869,8717,2016-01-31 17:08:08,deposit,1413.2,30739.83
32121,8680,2016-01-31 20:35:23,transfer,4088.36,74885.52
1110,3858,2016-02-01 00:16:20,transfer,770.33,51317.67
6741,9161,2016-02-01 02:32:00,payment,856.26,83748.12
23265,7396,2016-02-01 03:07:36,transfer,3725.44,38074.02
12233,1296,2016-02-01 03:19:03,transfer,557.46,52132.38
17680,7998,2016-02-01 04:42:18,deposit,1404.48,40535.38
31230,5907,2016-02-01 04:46:35,payment,2140.48,20153.79
36463,1237,2016-02-01 06:44:33,deposit,915.28,68519.34
16661,9785,2016-02-01 07:41:16,withdrawal,3772.94,39164.6
30570,6148,2016-02-01 08:52:59,payment,3717.44,27327.91
33597,7997,2016-02-01 13:08:07,deposit,2993.4,32070.22
13221,2826,2016-02-01 13:26:08,deposit,2135.08,71998.66
1296,2887,2016-02-01 14:23:57,payment,1001.55,92779.04
11124,5104,2016-02-01 14:31:05,deposit,3171.51,14326.29
6089,3584,2016-02-01 19:57:57,payment,3546.77,80411.68
14949,3441,2016-02-02 03:48:08,transfer,2261.02,87136.5
18528,8299,2016-02-02 08:47:14,deposit,955.65,63702.35
21230,1379,2016-02-02 12:10:51,withdrawal,3237.95,83447.21
28040,7720,2016-02-02 13:16:48,payment,4721.99,59058.31
35785,7457,2016-02-02 14:32:29,deposit,1460.95,91818.83
28359,8669,2016-02-02 15:55:28,transfer,791.59,25328.66
4826,6113,2016-02-02 16:25:43,deposit,800.24,82191.12
5202,2438,2016-02-02 17:43:39,deposit,4914.75,32822.27
9605,3323,2016-02-02 23:06:53,withdrawal,3268.84,4213.72
21827,4739,2016-02-02 23:10:08,deposit,2616.7,54811.45
27501,6150,2016-02-03 00:30:33,transfer,4859.97,99812.98
9705,3361,2016-02-03 03:50:57,transfer,1731.19,82236.97
33036,3354,2016-02-03 04:44:58,deposit,3641.22,30594.64
14436,2339,2016-02-03 09:59:03,transfer,1768.39,72462.62
